hsa-lncRNA3056-3	RP11-8P11.3
hsa-lncRNA12990-2	AC005703.2
hsa-lncRNA12491-3	RP11-198M11.2
hsa-lncRNA2188-8	RP1-116K23.1
hsa-lncRNA5880	RP11-861A13.4
hsa-lncRNA13403	RP11-47G4.2
hsa-lncRNA3337-2	AC009110.1
hsa-lncRNA15717-3	RP11-293A21.1
hsa-lncRNA9015	RP11-358M14.2
hsa-lncRNA18827-14	XIST
hsa-lncRNA7250	CTB-57H20.1
hsa-lncRNA10143-1	RP5-968D22.1
hsa-lncRNA12897-4	RP11-514D23.3
hsa-lncRNA12773-2	CASC16
hsa-lncRNA6374-1	RP11-4O3.2
hsa-lncRNA18901	ZFY-AS1
hsa-lncRNA1823	RP11-392P7.6
hsa-lncRNA15153-1	AC099754.1
hsa-lncRNA2033	RP11-1041F24.1
hsa-lncRNA18059-1	RP11-379I19.1
hsa-lncRNA3309-6	RP11-142G1.2
hsa-lncRNA2441	EDNRB-AS1
hsa-lncRNA15721	RP11-415C15.3
hsa-lncRNA9357-3	RP11-343J18.2
hsa-lncRNA10499-3	RP11-379F12.3
hsa-lncRNA13445-1	LINC01029
hsa-lncRNA10051-7	AL157902.3
hsa-lncRNA8120-7	AC018647.3
hsa-lncRNA14933-3	AP001053.11
hsa-lncRNA6997	RP11-136K7.1
hsa-lncRNA12286-2	CTD-2540L5.6
hsa-lncRNA15665-1	RP11-22A3.1
hsa-lncRNA12246-1	CTD-2184C24.2
hsa-lncRNA15291-3	RP11-47P18.1
hsa-lncRNA3609-2	RP11-893F2.6
hsa-lncRNA10827-1	RP11-355F22.1
hsa-lncRNA5423-2	LINC00112
hsa-lncRNA5604-12	CHKB-AS1
hsa-lncRNA8180-1	RP4-718N17.2
hsa-lncRNA4193-7	RNASEH1-AS1
hsa-lncRNA3609-1	RP11-893F2.6
hsa-lncRNA18649-1	RP11-284G10.1
hsa-lncRNA767-3	RP4-781K5.4
hsa-lncRNA5734-1	RP11-889D3.2
hsa-lncRNA3488-3	LINC00670
hsa-lncRNA2867-1	RP11-44N21.1
hsa-lncRNA10364	LINC00582
hsa-lncRNA15610-2	AC128709.4
hsa-lncRNA5138-4	RP4-737E23.2
hsa-lncRNA4765	UPP2-IT1
hsa-lncRNA13075	RP5-875H18.4
hsa-lncRNA6336-1	RP11-227F19.2
hsa-lncRNA2742-2	RP11-293M10.5
hsa-lncRNA9357-2	RP11-343J18.2
hsa-lncRNA16851-3	LINC00518
hsa-lncRNA15363	RP11-572M11.1
hsa-lncRNA16516-3	RP11-133F8.2
hsa-lncRNA8527	GS1-24F4.3
hsa-lncRNA4101-3	CTC-523E23.5
hsa-lncRNA9901-2	RP11-74K19.1
hsa-lncRNA15932	RP11-810P8.1
hsa-lncRNA14053	AC114776.3
hsa-lncRNA8550	LINC00208
hsa-lncRNA15112	ATP2B2-IT1
hsa-lncRNA1990-1	RP11-560G2.1
hsa-lncRNA15622	HTT-AS
hsa-lncRNA16046-1	RP11-436A7.1
hsa-lncRNA14575	RP5-872K7.7
hsa-lncRNA14005-1	AC096554.1
hsa-lncRNA287-5	RP4-763G1.2
hsa-lncRNA1567	RP11-7N14.1
hsa-lncRNA18347-1	RP13-582O9.5
hsa-lncRNA11613-2	MAPKAPK5-AS1
hsa-lncRNA12708-1	RP11-65J21.4
hsa-lncRNA8368	AC000123.4
hsa-lncRNA13106-5	RP11-159D12.2
hsa-lncRNA3856-2	RP11-653G8.2
hsa-lncRNA12534-1	RP11-34F13.2
hsa-lncRNA13976-2	AC159540.3
hsa-lncRNA10269-1	RP1-272L16.1
hsa-lncRNA4557-4	RP11-76I14.1
hsa-lncRNA3420-4	CTD-2015G9.2
hsa-lncRNA9010	RP11-509J21.2
hsa-lncRNA15866-2	RP11-168E14.1
hsa-lncRNA11035	CTD-2572N17.1
hsa-lncRNA2782-1	RP11-804L24.2
hsa-lncRNA1502-2	AP000479.1
hsa-lncRNA6682	RP11-440I14.3
hsa-lncRNA7154-2	RP11-2N5.1
hsa-lncRNA13515-21	LINC00662
hsa-lncRNA3874-2	RP11-742D12.2
hsa-lncRNA77-2	RP4-798A10.4
hsa-lncRNA18264	RP11-1082L8.3
hsa-lncRNA7832-7	LINC01013
hsa-lncRNA7102-2	CTD-2333K2.1
hsa-lncRNA17521-1	RP11-89N17.4
hsa-lncRNA6386-3	RP11-807H7.1
hsa-lncRNA16865-2	RP11-359N11.1
hsa-lncRNA4952-3	LINC00608
hsa-lncRNA3110-4	LINC00925
hsa-lncRNA3351	RP11-61A14.4
hsa-lncRNA7919-2	RP11-125D12.2
hsa-lncRNA2449-2	LINC01038
hsa-lncRNA17218	RP11-10J5.1
hsa-lncRNA6469-3	RP11-729M20.1
hsa-lncRNA12321-4	RP11-799P8.1
hsa-lncRNA8264-3	LINC00972
hsa-lncRNA15052-10	LINC00899
hsa-lncRNA14963	XXbac-B476C20.13
hsa-lncRNA12843-2	AC009120.4
hsa-lncRNA12621-2	RP11-255M2.2
hsa-lncRNA7634-1	RP11-345L23.1
hsa-lncRNA3039-6	RP11-279F6.1
hsa-lncRNA11971-3	LINC00331
hsa-lncRNA18862-3	GS1-421I3.4
hsa-lncRNA6372-5	IGFBP7-AS1
hsa-lncRNA487-2	RP11-336K24.5
hsa-lncRNA15666	LINC01096
hsa-lncRNA8273	RP11-115N4.1
hsa-lncRNA14540-5	RP5-1069C8.2
hsa-lncRNA4330-5	AC109642.1
hsa-lncRNA7048-1	CTC-493L21.1
hsa-lncRNA6172	AC092535.3
hsa-lncRNA4457-1	AC092669.6
hsa-lncRNA16648	CTD-2050E21.1
hsa-lncRNA4903-2	AC008269.2
hsa-lncRNA7743	RP11-98I9.4
hsa-lncRNA16570-5	CTD-2281M20.1
hsa-lncRNA2855-2	RP11-1029J19.2
hsa-lncRNA7772-3	RP5-1112D6.4
hsa-lncRNA17560-2	AC005537.2
hsa-lncRNA6030	PLCH1-AS1
hsa-lncRNA14016	AC104655.2
hsa-lncRNA10282-2	RP11-61J19.2
hsa-lncRNA12895-2	RP11-805I24.4
hsa-lncRNA10662-1	RP11-174J11.1
hsa-lncRNA5498-6	CTA-211A9.5
hsa-lncRNA7054-8	TMEM161B-AS1
hsa-lncRNA13820	RP11-417F21.1
hsa-lncRNA8685-6	RP11-770E5.1
hsa-lncRNA6818-1	LINC01018
hsa-lncRNA4070-2	CTB-32O4.2
hsa-lncRNA2568-4	LINC01070
hsa-lncRNA6580-1	LINC00500
hsa-lncRNA5160	HM13-IT1
